# 13IDC XRM/XSW using QuadVortex + collimator,  incident x-ray energy at 7500.0 eV at 22.0 degrees 
# Helium path not used, 0.0 Al attenuators, 0.0 Kapton attenuators, 6.0 cm working distance. 
#  1.631e+17 La/cm^3 1.631e+17 Ce/cm^3 1.631e+17 Nd/cm^3 1.631e+22 Ca/cm^3 4.689e+22 Al/cm^3
atom	emit	emit_energy   	yield   	transmission   	net_sensitivity   	sensitivity*concentration
La_L1	Lb	5107.9   	4.071e+03   	7.290e-01   	1.742e+05   	1.742e+00
La_L1	Lg	6065.8   	1.084e+03   	8.265e-01   	5.260e+04   	5.260e-01
La_L2	Ln	4529.0   	2.200e+02   	6.367e-01   	8.213e+03   	8.213e-02
La_L2	Lb	5038.0   	8.207e+03   	7.195e-01   	3.464e+05   	3.464e+00
La_L2	Lg	5785.7   	1.227e+03   	8.035e-01   	5.789e+04   	5.789e-01
La_L3	Ll	4121.0   	2.853e+02   	5.501e-01   	9.197e+03   	9.197e-02
La_L3	La	4645.3   	7.932e+03   	6.577e-01   	3.059e+05   	3.059e+00
La_L3	Lb	5371.5   	1.530e+03   	7.615e-01   	6.840e+04   	6.840e-01
Ce_L1	Lb	5328.6   	4.574e+03   	7.565e-01   	2.031e+05   	2.031e+00
Ce_L1	Lg	6334.4   	1.233e+03   	8.456e-01   	6.125e+04   	6.125e-01
Ce_L2	Ln	4728.0   	2.443e+02   	6.721e-01   	9.630e+03   	9.630e-02
Ce_L2	Lb	5261.6   	9.341e+03   	7.485e-01   	4.103e+05   	4.103e+00
Ce_L2	Lg	6055.0   	1.427e+03   	8.257e-01   	6.920e+04   	6.920e-01
Ce_L3	Ll	4287.0   	3.256e+02   	5.877e-01   	1.122e+04   	1.122e-01
Ce_L3	La	4837.3   	9.024e+03   	6.898e-01   	3.651e+05   	3.651e+00
Ce_L3	Lb	5607.2   	1.764e+03   	7.866e-01   	8.144e+04   	8.144e-01
Nd_L1	Lb	5789.5   	5.655e+03   	8.038e-01   	2.669e+05   	2.669e+00
Nd_L1	Lg	6893.5   	1.561e+03   	8.770e-01   	8.047e+04   	8.047e-01
Nd_L2	Ln	5147.0   	2.953e+02   	7.342e-01   	1.272e+04   	1.272e-01
Nd_L2	Lb	5718.7   	1.181e+04   	7.973e-01   	5.529e+05   	5.529e+00
Nd_L2	Lg	6601.5   	1.874e+03   	8.619e-01   	9.492e+04   	9.492e-01
Nd_L3	Ll	4633.0   	4.160e+02   	6.555e-01   	1.599e+04   	1.599e-01
Nd_L3	La	5225.3   	1.141e+04   	7.441e-01   	4.984e+05   	4.984e+00
Nd_L3	Lb	6079.8   	2.263e+03   	8.276e-01   	1.100e+05   	1.100e+00
Ca_K	Ka	3691.1   	1.744e+03   	4.364e-01   	2.818e+04   	2.818e+04
Ca_K	Kb	4013.1   	2.355e+02   	5.237e-01   	4.564e+03   	4.564e+03
Al_K	Ka	1486.4   	7.660e+01   	3.143e-05   	5.189e-02   	1.492e-01
Al_K	Kb	1557.0   	9.621e+00   	1.125e-04   	2.332e-02   	6.708e-02
