# 13IDC XRM/XSW using QuadVortex + collimator,  incident x-ray energy at 7500.0 eV at 45.0 degrees 
# Helium path not used, 0.0 Al attenuators, 0.0 Kapton attenuators, 6.0 cm working distance. 
#  1.631e+17 La/cm^3 1.631e+17 Ce/cm^3 1.631e+17 Nd/cm^3 1.631e+22 Ca/cm^3 4.689e+22 Al/cm^3
atom	emit	emit_energy   	yield   	transmission   	net_sensitivity   	sensitivity*concentration
La_L1	Lb	5107.9   	4.071e+03   	7.290e-01   	2.208e+05   	2.208e+00
La_L1	Lg	6065.8   	1.084e+03   	8.265e-01   	6.671e+04   	6.671e-01
La_L2	Ln	4529.0   	2.200e+02   	6.367e-01   	1.041e+04   	1.041e-01
La_L2	Lb	5038.0   	8.207e+03   	7.195e-01   	4.392e+05   	4.392e+00
La_L2	Lg	5785.7   	1.227e+03   	8.035e-01   	7.341e+04   	7.341e-01
La_L3	Ll	4121.0   	2.853e+02   	5.501e-01   	1.166e+04   	1.166e-01
La_L3	La	4645.3   	7.932e+03   	6.577e-01   	3.878e+05   	3.878e+00
La_L3	Lb	5371.5   	1.530e+03   	7.615e-01   	8.673e+04   	8.673e-01
Ce_L1	Lb	5328.6   	4.574e+03   	7.565e-01   	2.575e+05   	2.575e+00
Ce_L1	Lg	6334.4   	1.233e+03   	8.456e-01   	7.768e+04   	7.768e-01
Ce_L2	Ln	4728.0   	2.443e+02   	6.721e-01   	1.221e+04   	1.221e-01
Ce_L2	Lb	5261.6   	9.341e+03   	7.485e-01   	5.202e+05   	5.202e+00
Ce_L2	Lg	6055.0   	1.427e+03   	8.257e-01   	8.776e+04   	8.776e-01
Ce_L3	Ll	4287.0   	3.256e+02   	5.877e-01   	1.422e+04   	1.422e-01
Ce_L3	La	4837.3   	9.024e+03   	6.898e-01   	4.629e+05   	4.629e+00
Ce_L3	Lb	5607.2   	1.764e+03   	7.866e-01   	1.033e+05   	1.033e+00
Nd_L1	Lb	5789.5   	5.655e+03   	8.038e-01   	3.385e+05   	3.385e+00
Nd_L1	Lg	6893.5   	1.561e+03   	8.770e-01   	1.021e+05   	1.021e+00
Nd_L2	Ln	5147.0   	2.953e+02   	7.342e-01   	1.613e+04   	1.613e-01
Nd_L2	Lb	5718.7   	1.181e+04   	7.973e-01   	7.011e+05   	7.011e+00
Nd_L2	Lg	6601.5   	1.874e+03   	8.619e-01   	1.204e+05   	1.204e+00
Nd_L3	Ll	4633.0   	4.160e+02   	6.555e-01   	2.027e+04   	2.027e-01
Nd_L3	La	5225.3   	1.141e+04   	7.441e-01   	6.319e+05   	6.319e+00
Nd_L3	Lb	6079.8   	2.263e+03   	8.276e-01   	1.395e+05   	1.395e+00
Ca_K	Ka	3691.1   	1.744e+03   	4.364e-01   	3.232e+04   	3.232e+04
Ca_K	Kb	4013.1   	2.355e+02   	5.237e-01   	5.235e+03   	5.235e+03
Al_K	Ka	1486.4   	7.660e+01   	3.143e-05   	7.659e-02   	2.203e-01
Al_K	Kb	1557.0   	9.621e+00   	1.125e-04   	3.442e-02   	9.900e-02
