#incident x-ray at 7500.0 eV and 45.0 Deg.
#Emission	energy(eV)	intensity 
La_Lb4	5057.000000	0.003780 
La_Lb3	5138.000000	0.006475 
La_Lg2	6060.200000	0.001326 
La_Lg3	6070.000000	0.001772 
La_Ln	4529.000000	0.000484 
La_Lb1	5038.000000	0.020399 
La_Lg1	5785.700000	0.003409 
La_Ll	4121.000000	0.000542 
La_La2	4630.000000	0.001797 
La_La1	4647.000000	0.016217 
La_Lb6	5208.300000	0.000143 
La_Lb2,15	5377.700000	0.003885 
Ce_Lb4	5274.000000	0.004409 
Ce_Lb3	5361.000000	0.007549 
Ce_Lg2	6324.800000	0.001537 
Ce_Lg3	6341.500000	0.002071 
Ce_Ln	4728.000000	0.000567 
Ce_Lb1	5261.600000	0.024162 
Ce_Lg1	6055.000000	0.004076 
Ce_Ll	4287.000000	0.000661 
Ce_La2	4820.600000	0.002146 
Ce_La1	4839.200000	0.019354 
Ce_Lb6	5432.000000	0.000175 
Ce_Lb2,15	5614.000000	0.004621 
Nd_Lb4	5723.000000	0.005811 
Nd_Lb3	5829.000000	0.009908 
Nd_Lg2	6882.700000	0.002003 
Nd_Lg3	6901.400000	0.002738 
Nd_Ln	5147.000000	0.000749 
Nd_Lb1	5718.700000	0.032565 
Nd_Lg1	6601.500000	0.005592 
Nd_Ll	4633.000000	0.000942 
Nd_La2	5204.700000	0.002931 
Nd_La1	5227.600000	0.026419 
Nd_Lb6	5888.800000	0.000246 
Nd_Lb2,15	6087.500000	0.006233 
Ca_Ka3	3600.100000	0.034295 
Ca_Ka2	3688.800000	50.083111 
Ca_Ka1	3692.300000	100.000000 
Ca_Kb3	4013.100000	8.297527 
Ca_Kb1	4013.100000	16.018372 
Al_Ka3	1441.200000	0.000000 
Al_Ka2	1486.100000	0.000340 
Al_Ka1	1486.500000	0.000683 
Al_Kb3	1557.000000	0.000157 
Al_Kb1	1557.000000	0.000303 
#La[1e-05]   Ce[1e-05]   Nd[1e-05]   Ca[1.0]   Al[2.876096750673395]   
